Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,2/5/2010,"1,643,691",0.0,42.31,2.572,211.0,8.106
1,2/12/2010,"1,641,957",1.0,38.51,2.548,221.55,8.106
1,2/19/2010,"1,611,968",0.0,39.93,2.514,211.0,8.106
1,2/26/2010,"1,409,728",0.0,46.63,2.561,211.0,8.106
1,3/5/2010,"1,554,807",0.0,46.5,2.625,211.0,8.106
1,3/12/2010,"1,439,542",0.0,57.79,2.667,211.0,8.106
1,3/19/2010,"1,472,516",0.0,54.58,2.72,211.0,8.106
1,3/26/2010,"1,404,430",0.0,51.45,2.732,211.0,8.106
1,4/2/2010,"1,594,968",0.0,62.27,2.719,,7.808
1,4/9/2010,"1,545,419",0.0,65.86,2.77,211.0,7.808
1,4/16/2010,"1,466,058",0.0,66.32,2.808,210.0,7.808
1,4/23/2010,"1,391,256",0.0,64.84,2.795,210.0,7.808
1,4/30/2010,"1,425,101",0.0,67.41,2.78,210.0,7.808
1,5/7/2010,"1,603,955",0.0,72.55,2.835,210.0,7.808
1,5/14/2010,"1,494,252",0.0,74.78,2.854,210.0,7.808
1,5/21/2010,"1,399,662",0.0,76.44,2.826,211.0,7.808
1,5/28/2010,"1,432,070",0.0,80.44,2.759,211.0,7.808
1,6/4/2010,"1,615,525",0.0,80.69,2.705,211.0,7.808
1,6/11/2010,"1,542,561",0.0,80.43,2.668,211.0,7.808
1,6/18/2010,"1,503,284",0.0,84.11,2.637,211.0,7.808
1,6/25/2010,"1,422,712",0.0,84.34,2.653,211.0,7.808
1,7/2/2010,"1,492,418",0.0,80.91,2.669,211.0,7.787
1,7/9/2010,"1,546,074",0.0,80.48,2.642,211.0,7.787
1,7/16/2010,"1,448,939",,83.15,2.623,211.0,7.787
1,7/23/2010,"1,385,065",0.0,83.36,2.608,211.0,7.787
1,7/30/2010,"1,371,987",0.0,81.84,2.64,211.0,7.787
1,8/6/2010,"1,605,492",0.0,87.16,2.627,212.0,7.787
1,8/13/2010,"1,508,238",0.0,87.0,2.692,212.0,7.787
1,8/20/2010,"1,513,080",0.0,86.65,2.664,212.0,7.787
1,8/27/2010,"1,449,143",0.0,85.22,2.619,212.0,7.787
1,9/3/2010,"1,540,164",0.0,81.21,2.577,212.0,7.787
1,9/10/2010,"1,507,461",,78.69,2.565,221.55,7.787
1,9/17/2010,"1,430,379",0.0,82.11,2.582,212.0,7.787
1,9/24/2010,"1,351,791",0.0,80.94,2.624,212.0,7.787
1,10/1/2010,"1,453,330",0.0,71.89,2.603,212.0,7.838
1,10/8/2010,"1,508,240",0.0,63.93,2.633,212.0,7.838
1,10/15/2010,"1,459,409",0.0,67.18,2.72,212.0,7.838
1,10/22/2010,"1,345,454",,69.86,2.725,212.0,7.838
1,10/29/2010,"1,384,209",0.0,69.64,2.716,,7.838
1,11/5/2010,"1,551,659",0.0,58.74,2.689,212.0,7.838
1,11/12/2010,"1,494,479",0.0,59.61,2.728,212.0,7.838
1,11/19/2010,"1,483,784",0.0,51.41,2.771,212.0,7.838
1,11/26/2010,"1,955,624",1.0,64.52,2.735,222.6,7.838
1,12/3/2010,"1,548,034",0.0,49.27,2.708,212.0,7.838
1,12/10/2010,"1,682,614",0.0,46.33,2.843,211.0,7.838
1,12/17/2010,"1,891,035",0.0,49.84,2.869,211.0,7.838
1,12/24/2010,"2,387,950",0.0,52.33,2.886,211.0,7.838
1,12/31/2010,"1,367,320",1.0,48.43,2.943,,7.838
1,1/7/2011,"1,444,732",0.0,48.27,2.976,211.0,7.742
1,1/14/2011,"1,391,014",0.0,35.4,2.983,,7.742
1,1/21/2011,"1,327,405",,44.04,3.016,212.0,7.742
1,1/28/2011,"1,316,899",0.0,43.83,3.01,212.0,7.742
1,2/4/2011,"1,606,630",0.0,42.27,2.989,213.0,7.742
1,2/11/2011,"1,649,615",1.0,36.39,3.022,223.65,7.742
1,2/18/2011,"1,686,843",0.0,57.36,3.045,213.0,7.742
1,2/25/2011,"1,456,800",0.0,62.9,3.065,214.0,7.742
1,3/4/2011,"1,636,263",0.0,59.58,3.288,214.0,7.742
1,3/11/2011,"1,553,192",0.0,53.56,3.459,214.0,7.742
1,3/18/2011,"1,576,818",0.0,62.76,3.488,214.0,7.742
1,3/25/2011,"1,541,102",0.0,69.97,3.473,215.0,7.742
1,4/1/2011,"1,495,065",0.0,59.17,3.524,215.0,7.682
1,4/8/2011,"1,614,259",0.0,67.84,3.622,215.0,7.682
1,4/15/2011,"1,559,889",0.0,71.27,3.743,215.0,7.682
1,4/22/2011,"1,564,820",0.0,72.99,3.807,215.0,7.682
1,4/29/2011,"1,455,091",0.0,72.03,3.81,216.0,7.682
1,5/6/2011,"1,629,391",0.0,64.61,3.906,216.0,7.682
1,5/13/2011,"1,604,776",0.0,75.64,3.899,216.0,7.682
1,5/20/2011,"1,428,218",0.0,67.63,3.907,216.0,7.682
1,5/27/2011,"1,466,047",0.0,77.72,3.786,216.0,7.682
1,6/3/2011,"1,635,078",0.0,83.0,3.699,215.0,7.682
1,6/10/2011,"1,588,948",0.0,83.13,3.648,215.0,7.682
1,6/17/2011,"1,532,115",0.0,86.41,3.637,215.0,7.682
1,6/24/2011,"1,438,830",0.0,83.58,3.594,215.0,7.682
1,7/1/2011,"1,488,538",0.0,85.55,3.524,215.0,7.962
1,7/8/2011,"1,534,850",0.0,85.83,3.48,215.0,7.962
1,7/15/2011,"1,455,120",0.0,88.54,3.575,215.0,7.962
1,7/22/2011,"1,396,927",0.0,85.77,3.651,215.0,7.962
1,7/29/2011,"1,352,220",0.0,86.83,3.682,215.0,7.962
1,8/5/2011,"1,624,384",0.0,91.65,3.684,216.0,7.962
1,8/12/2011,"1,525,147",,90.76,3.638,216.0,7.962
1,8/19/2011,"1,530,761",,89.94,3.554,216.0,7.962
1,8/26/2011,"1,464,693",0.0,87.96,3.523,216.0,7.962
1,9/2/2011,"1,550,229",0.0,87.83,3.533,216.0,7.962
1,9/9/2011,"1,540,471",1.0,76.0,3.546,226.8,7.962
1,9/16/2011,"1,514,260",0.0,79.94,3.526,216.0,7.962
1,9/23/2011,"1,380,020",0.0,75.8,3.467,216.0,7.962
1,9/30/2011,"1,394,562",0.0,79.69,3.355,217.0,7.962
1,10/7/2011,"1,630,990",0.0,69.31,3.285,217.0,7.866
1,10/14/2011,"1,493,526",,71.74,3.274,217.0,7.866
1,10/21/2011,"1,502,563",0.0,63.71,3.353,218.0,7.866
1,10/28/2011,"1,445,249",0.0,66.57,3.372,218.0,7.866
1,11/4/2011,"1,697,230",0.0,54.98,3.332,218.0,7.866
1,11/11/2011,"1,594,939",0.0,59.11,3.297,218.0,7.866
1,11/18/2011,"1,539,484",0.0,62.25,3.308,218.0,7.866
1,11/25/2011,"2,033,321",1.0,60.14,3.236,228.9,7.866
1,12/2/2011,"1,584,084",0.0,48.91,3.172,219.0,7.866
1,12/9/2011,"1,799,682",,43.93,3.158,219.0,7.866
1,12/16/2011,"1,881,177",0.0,51.63,3.159,219.0,7.866
1,12/23/2011,"2,270,189",0.0,47.96,3.112,219.0,7.866
1,12/30/2011,"1,497,463",1.0,44.55,3.129,,7.866
1,1/6/2012,"1,550,370",0.0,49.01,3.157,220.0,7.348
1,1/13/2012,"1,459,601",0.0,48.53,3.261,220.0,7.348
1,1/20/2012,"1,394,394",0.0,54.11,3.268,220.0,7.348
1,1/27/2012,"1,319,326",0.0,54.26,3.29,220.0,7.348
1,2/3/2012,"1,636,340",0.0,56.55,3.36,220.0,7.348
1,2/10/2012,"1,802,477",1.0,48.02,3.409,231.0,7.348
1,2/17/2012,"1,819,870",0.0,45.32,3.51,220.0,7.348
1,2/24/2012,"1,539,388",0.0,57.25,3.555,221.0,7.348
1,3/2/2012,"1,688,421",0.0,60.96,3.63,221.0,7.348
1,3/9/2012,"1,675,431",0.0,58.76,3.669,221.0,7.348
1,3/16/2012,"1,677,473",0.0,64.74,3.734,221.0,7.348
1,3/23/2012,"1,511,068",0.0,65.93,3.787,221.0,7.348
